ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,ID_4,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,N_Sample
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,18,Dhaka,131,Savar, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,18,Dhaka,132,Tejgaon, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,19,Gazipur,133,Gazipur S., ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,19,Gazipur,134,Kaliakair, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,19,Gazipur,135,Kaliganj,Gazipur,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,19,Gazipur,136,Kapasia, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,19,Gazipur,137,Sreepur,Gazipur,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,20,Manikgonj,138,Daulatpur,Manikganj,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,21,Munshigonj,148,Sirajdikhan, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,20,Manikgonj,139,Ghior, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,20,Manikgonj,140,Harirampur, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,20,Manikgonj,141,Manikganj S., ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,20,Manikgonj,142,Saturia, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,20,Manikgonj,143,Shivalaya, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,20,Manikgonj,144,Singair, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,21,Munshigonj,149,Sreenagar, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,21,Munshigonj,150,Tongibari, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,22,Naray Angonj,151,Araihazar, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,22,Naray Angonj,152,Bandar, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,22,Naray Angonj,153,Narayanganj S., ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,22,Naray Angonj,154,Rupganj, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,22,Naray Angonj,155,Sonargaon, ,Upazila|Thana|Po,Sub-district,
